
无鉴权插件安装==》 &{[0x10193fdf0 0x101940b00] / 0x1400058a340 false}
鉴权插件安装==》 &{[0x10193fdf0 0x101940b00] / 0x1400058a340 false}
[GIN-debug] POST   /system/setSystemConfig   --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApi).SetSystemConfig-fm (6 handlers)
[GIN-debug] POST   /system/getServerInfo     --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApi).GetServerInfo-fm (6 handlers)
[GIN-debug] POST   /system/reloadSystem      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApi).ReloadSystem-fm (6 handlers)
[GIN-debug] POST   /casbin/updateCasbin      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*CasbinApi).UpdateCasbin-fm (6 handlers)
[GIN-debug] POST   /casbin/getPolicyPathByAuthorityId --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*CasbinApi).GetPolicyPathByAuthorityId-fm (5 handlers)
[GIN-debug] GET    /autoCode/getDB           --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).GetDB-fm (5 handlers)
[GIN-debug] GET    /autoCode/getTables       --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).GetTables-fm (5 handlers)
[GIN-debug] GET    /autoCode/getColumn       --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).GetColumn-fm (5 handlers)
[GIN-debug] POST   /autoCode/preview         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).PreviewTemp-fm (5 handlers)
[GIN-debug] POST   /autoCode/createTemp      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).CreateTemp-fm (5 handlers)
[GIN-debug] POST   /autoCode/createPackage   --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).CreatePackage-fm (5 handlers)
[GIN-debug] POST   /autoCode/getPackage      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).GetPackage-fm (5 handlers)
[GIN-debug] POST   /autoCode/delPackage      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).DelPackage-fm (5 handlers)
[GIN-debug] POST   /autoCode/createPlug      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).AutoPlug-fm (5 handlers)
[GIN-debug] POST   /autoCode/installPlugin   --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeApi).InstallPlugin-fm (5 handlers)
[GIN-debug] POST   /authority/createAuthority --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityApi).CreateAuthority-fm (6 handlers)
[GIN-debug] POST   /authority/deleteAuthority --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityApi).DeleteAuthority-fm (6 handlers)
[GIN-debug] PUT    /authority/updateAuthority --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityApi).UpdateAuthority-fm (6 handlers)
[GIN-debug] POST   /authority/copyAuthority  --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityApi).CopyAuthority-fm (6 handlers)
[GIN-debug] POST   /authority/setDataAuthority --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityApi).SetDataAuthority-fm (6 handlers)
[GIN-debug] POST   /authority/getAuthorityList --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityApi).GetAuthorityList-fm (5 handlers)
[GIN-debug] POST   /sysDictionary/createSysDictionary --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryApi).CreateSysDictionary-fm (6 handlers)
[GIN-debug] DELETE /sysDictionary/deleteSysDictionary --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryApi).DeleteSysDictionary-fm (6 handlers)
[GIN-debug] PUT    /sysDictionary/updateSysDictionary --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryApi).UpdateSysDictionary-fm (6 handlers)
[GIN-debug] GET    /sysDictionary/findSysDictionary --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryApi).FindSysDictionary-fm (5 handlers)
[GIN-debug] GET    /sysDictionary/getSysDictionaryList --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryApi).GetSysDictionaryList-fm (5 handlers)
[GIN-debug] POST   /autoCode/getMeta         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeHistoryApi).First-fm (5 handlers)
[GIN-debug] POST   /autoCode/rollback        --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeHistoryApi).RollBack-fm (5 handlers)
[GIN-debug] POST   /autoCode/delSysHistory   --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeHistoryApi).Delete-fm (5 handlers)
[GIN-debug] POST   /autoCode/getSysHistory   --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AutoCodeHistoryApi).GetList-fm (5 handlers)
[GIN-debug] POST   /sysOperationRecord/createSysOperationRecord --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*OperationRecordApi).CreateSysOperationRecord-fm (5 handlers)
[GIN-debug] DELETE /sysOperationRecord/deleteSysOperationRecord --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*OperationRecordApi).DeleteSysOperationRecord-fm (5 handlers)
[GIN-debug] DELETE /sysOperationRecord/deleteSysOperationRecordByIds --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*OperationRecordApi).DeleteSysOperationRecordByIds-fm (5 handlers)
[GIN-debug] GET    /sysOperationRecord/findSysOperationRecord --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*OperationRecordApi).FindSysOperationRecord-fm (5 handlers)
[GIN-debug] GET    /sysOperationRecord/getSysOperationRecordList --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*OperationRecordApi).GetSysOperationRecordList-fm (5 handlers)
[GIN-debug] POST   /sysDictionaryDetail/createSysDictionaryDetail --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryDetailApi).CreateSysDictionaryDetail-fm (6 handlers)
[GIN-debug] DELETE /sysDictionaryDetail/deleteSysDictionaryDetail --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryDetailApi).DeleteSysDictionaryDetail-fm (6 handlers)
[GIN-debug] PUT    /sysDictionaryDetail/updateSysDictionaryDetail --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryDetailApi).UpdateSysDictionaryDetail-fm (6 handlers)
[GIN-debug] GET    /sysDictionaryDetail/findSysDictionaryDetail --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryDetailApi).FindSysDictionaryDetail-fm (5 handlers)
[GIN-debug] GET    /sysDictionaryDetail/getSysDictionaryDetailList --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DictionaryDetailApi).GetSysDictionaryDetailList-fm (5 handlers)
[GIN-debug] POST   /authorityBtn/getAuthorityBtn --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityBtnApi).GetAuthorityBtn-fm (5 handlers)
[GIN-debug] POST   /authorityBtn/setAuthorityBtn --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityBtnApi).SetAuthorityBtn-fm (5 handlers)
[GIN-debug] POST   /authorityBtn/canRemoveAuthorityBtn --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityBtnApi).CanRemoveAuthorityBtn-fm (5 handlers)
[GIN-debug] POST   /customer/customer        --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*CustomerApi).CreateExaCustomer-fm (6 handlers)
[GIN-debug] PUT    /customer/customer        --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*CustomerApi).UpdateExaCustomer-fm (6 handlers)
[GIN-debug] DELETE /customer/customer        --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*CustomerApi).DeleteExaCustomer-fm (6 handlers)
[GIN-debug] GET    /customer/customer        --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*CustomerApi).GetExaCustomer-fm (5 handlers)
[GIN-debug] GET    /customer/customerList    --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*CustomerApi).GetExaCustomerList-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/upload --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).UploadFile-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/getFileList --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).GetFileList-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/deleteFile --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).DeleteFile-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/editFileName --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).EditFileName-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/breakpointContinue --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).BreakpointContinue-fm (5 handlers)
[GIN-debug] GET    /fileUploadAndDownload/findFile --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).FindFile-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/breakpointContinueFinish --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).BreakpointContinueFinish-fm (5 handlers)
[GIN-debug] POST   /fileUploadAndDownload/removeChunk --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/example.(*FileUploadAndDownloadApi).RemoveChunk-fm (5 handlers)
[github.com/flipped-aurora/gin-vue-admin/server]2023/03/12 - 04:18:02.325	info	/pine/gvmserve/initialize/router.go:75	router register success
[GIN-debug] GET    /form-generator/*filepath --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /form-generator/*filepath --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[github.com/flipped-aurora/gin-vue-admin/server]2023/03/12 - 04:18:02.325	info	/pine/gvmserve/core/server.go:36	server run success on 	{"address": ":7654"}
